"TestSize","RunTime","SolutionsFound"  
500,1,8
1000,7,72
2000,59,522
4000,470,3951
8000,3759,32190
500,1,7
1000,7,56
2000,59,509
4000,470,3980
8000,3760,32482
500,1,9
1000,7,62
2000,59,491
4000,470,4078
8000,3782,31919
500,1,6
1000,7,62
2000,59,488
4000,473,3977
8000,3779,32531
500,1,4
1000,8,71
2000,59,484
4000,470,3940
8000,3767,31387
500,1,5
1000,7,62
2000,59,517
4000,470,4035
8000,3765,31849
500,1,7
1000,7,58
2000,59,513
4000,470,4016
8000,3767,31914
500,1,5
1000,7,55
2000,59,495
4000,470,4016
8000,3760,31489
500,1,4
1000,7,72
2000,59,488
4000,470,4007
8000,3761,31931
500,1,7
1000,7,66
2000,59,487
4000,470,3948
8000,3760,31900
500,1,9
1000,7,70
2000,59,474
4000,470,4098
8000,3761,32428
500,1,8
1000,7,62
2000,59,487
4000,470,3965
8000,3760,31709
500,1,7
1000,7,60
2000,59,536
4000,470,3872
8000,3760,31669
500,1,6
1000,8,53
2000,58,502
4000,470,3982
8000,3762,32262
500,0,6
1000,8,70
2000,59,520
4000,469,3977
8000,3761,31898
500,1,8
1000,7,58
2000,59,490
4000,470,3992
8000,3767,32487
500,1,7
1000,7,52
2000,59,493
4000,471,3958
8000,3761,32115
500,1,8
1000,7,59
2000,59,463
4000,470,3897
8000,3762,32346
500,1,5
1000,7,47
2000,59,530
4000,470,4070
8000,3761,31952
500,1,5
1000,7,67
2000,59,495
4000,470,4057
8000,3761,31691
500,1,10
1000,7,53
2000,59,538
4000,470,3869
8000,3767,32461
500,1,14
1000,7,62
2000,59,483
4000,470,3974
1600,31,279
8000,3771,31535
8000,3779,31893
500,1,7
1000,8,66
2000,58,500
4000,470,4033
8000,3762,31793
500,1,9
1000,7,47
2000,59,499
4000,470,4089
8000,3761,32007
500,1,8
1000,7,68
2000,59,477
4000,470,3842
8000,3762,31996
500,1,9
1000,7,58
2000,59,477
4000,470,4014
8000,3762,32099
500,1,9
1000,8,58
2000,58,492
4000,470,3954
8000,3761,32104
500,1,12
1000,8,57
2000,59,477
4000,470,3989
8000,3761,32141
500,1,7
1000,7,46
2000,59,523
4000,470,3963
8000,3762,31968
500,1,11
1000,7,62
2000,59,469
4000,470,3958
8000,3760,31844
500,1,6
1000,8,59
2000,58,483
4000,470,4018
8000,3768,31821
500,1,9
1000,7,56
2000,59,483
4000,474,3933
8000,3786,32137
500,1,7
1000,7,62
2000,59,470
4000,473,3940
8000,3785,31952
500,1,5
1000,8,63
2000,59,526
4000,473,4078
8000,3788,32026
500,1,3
1000,8,57
2000,59,498
4000,473,3956
8000,3791,31897
500,1,4
1000,8,80
2000,59,517
4000,472,3879
8000,3784,32223
500,1,13
1000,7,59
2000,59,495
4000,472,3942
8000,3784,32644
500,1,13
1000,7,69
2000,59,523
4000,472,4076
8000,3791,32288
500,1,4
1000,7,65
2000,59,469
4000,473,4131
